transaction_id,card_number,bin,bin_country,card_type,card_brand,cardholder_name,issuing_bank,transaction_amount,transaction_currency,transaction_local_date,transmission_date_and_time,merchant_category_code,merchant_name,merchant_city,merchant_country,acquiring_country,authorization_code,transaction_fee,pos_entry_mode,transaction_status,channel,motif_rejet,cvv_validation,expiration_date_valid,is_ecommerce,is_domestic,ip_address,user_agent,customer_city,customer_phone,device_id,merchant_id,terminal_id,risk_score,is_fraud
11,4869817388669977,486981,Inde,Prepaid,Discover,Ali El Hariri,Crédit du Maroc,34.34,EUR,2025-01-17,2025-01-17T10:15:51,5812,BIM Store,Unknown,Espagne,Espagne,000000,9.4,MAGSTRIPE,declined,ECOM,Bad CVV/CVC,valid,False,True,False,107.7.156.27,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Meknès,0727209351,DEV-300,MID-9666,TERM-31488,0.9282896292156823,0
12,4967210440225778,496721,USA,Debit,MasterCard,Mohamed Fassi,Attijariwafa Bank,91.62,MAD,2025-01-03,2025-01-03T15:30:44,5411,Souvenirs Medina,Unknown,Cambodia,Cambodia,000000,4.05,FALLBACK,declined,ECOM,limit_exceeded,valid,False,True,False,210.58.201.128,Mozilla/5.0 (Linux; Android 11; SM-G998B),Fès,0669033484,DEV-402,MID-7290,TERM-52301,0.8823691453006596,0
13,4021957214737710,402195,Maroc,Credit,Discover,Aya El Amrani,Crédit du Maroc,10.0,MAD,2025-01-08,2025-01-08T19:02:02,5947,Station Afriquia,Unknown,Népal,Népal,000000,10.21,EMV,declined,ATM,Bad Cvv3-cvc3,not_checked,True,False,False,0.0.0.0,N/A,Meknès,0634433519,DEV-445,MID-2639,TERM-92778,0.9287807346709269,0
14,4418590238574445,441859,France,Credit,MasterCard,Mohamed Qadiri,CIH Bank,10.0,MAD,2025-01-05,2025-01-05T11:13:11,5094,FastFood Al Baraka,Laâyoune,Maroc,Espagne,000000,18.91,MAGSTRIPE,declined,ECOM,Bad Cvv3-cvc3,not_checked,True,True,False,206.195.169.255,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Casablanca,0648520289,DEV-121,MID-4812,TERM-42792,0.9136160202505149,0
15,4136543916489991,413654,Maroc,Prepaid,Amex,Ali Bennani,Crédit du Maroc,43.6,MAD,2025-01-25,2025-01-25T21:15:54,5722,SuperMarket Marjane,Unknown,Côte d'Ivoire,Côte d'Ivoire,000000,45.0,MANUAL,declined,ECOM,Bad Cvv2/Cvc2,valid,False,True,False,119.115.20.48,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Rabat,0669573589,DEV-463,MID-8057,TERM-81662,0.9825661596361254,1
16,4512725318470876,451272,Maroc,Credit,Visa,Mehdi Qadiri,BMCI,10.36,MAD,2025-01-30,2025-01-30T13:06:15,4814,Acima,Unknown,Inde,Inde,181147,43.72,MANUAL,approved,POS,none,invalid,True,False,False,0.0.0.0,N/A,Rabat,0612419233,DEV-965,MID-9958,TERM-80678,0.9546534518492624,0
17,4408123489093198,440812,Allemagne,Prepaid,Amex,Mehdi Tahiri,BMCE Bank,23.16,MAD,2025-01-10,2025-01-10T07:32:35,6011,Acima,Tetouan,Maroc,Maroc,000000,23.79,FALLBACK,declined,POS,expired_card,invalid,False,False,False,0.0.0.0,N/A,Agadir,0759658778,DEV-216,MID-6680,TERM-86007,0.8905194712640516,0
18,4058372815142065,405837,USA,Debit,MasterCard,Omar Fassi,Banque Populaire,44.62,MAD,2025-01-05,2025-01-05T14:48:56,5411,Acima,Casablanca,Maroc,Maroc,397465,22.25,EMV,approved,ECOM,none,invalid,True,True,False,19.33.1.206,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Casablanca,0787457007,DEV-512,MID-4098,TERM-33025,0.7519895054708219,0
19,4582448732941019,458244,Maroc,Debit,Amex,Mehdi Alaoui,SGMB,10.95,MAD,2025-01-22,2025-01-22T19:39:41,3000,Bijouterie L'Or,Unknown,Thailande,Thailande,716670,49.3,FALLBACK,approved,POS,none,valid,True,False,False,0.0.0.0,N/A,Laâyoune,0713215796,DEV-377,MID-7094,TERM-93479,0.8172950262889028,0
20,4463694787254126,446369,Maroc,Prepaid,Discover,Amine Bennani,Banque Populaire,38.81,MAD,2025-01-24,2025-01-24T19:03:02,5812,Station Afriquia,Unknown,Equateur,Equateur,990510,1.9,MAGSTRIPE,approved,POS,none,not_checked,False,False,False,0.0.0.0,N/A,Oujda,0728493910,DEV-242,MID-3671,TERM-90791,0.8181960583183655,0
21,4367397504651211,436739,Maroc,Credit,MasterCard,Youssef Tahiri,Banque Populaire,14.81,MAD,2025-01-18,2025-01-18T20:32:41,4814,Souvenirs Medina,Unknown,Trinidade et Tobaggo,Trinidade et Tobaggo,254227,23.09,FALLBACK,approved,ECOM,none,valid,True,True,False,34.129.57.216,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Oujda,0758983874,DEV-544,MID-7227,TERM-24050,0.8300241919460272,0
22,4563604006174489,456360,Maroc,Credit,Amex,Ali Bennani,CIH Bank,37.17,MAD,2025-01-28,2025-01-28T10:02:47,5722,Acima,Fès,Maroc,Maroc,000000,19.28,MAGSTRIPE,declined,ATM,Bad CVV/CVC,not_checked,False,False,True,0.0.0.0,N/A,Laâyoune,0753474241,DEV-977,MID-2074,TERM-38733,0.833423318691005,0
23,4859303837416397,485930,Maroc,Prepaid,Discover,Omar Bennani,BMCE Bank,72.34,MAD,2025-01-11,2025-01-11T19:24:34,5947,Carrefour Market,Unknown,Népal,Népal,228840,33.36,EMV,approved,ATM,none,invalid,True,False,False,0.0.0.0,N/A,Agadir,0700116040,DEV-920,MID-2893,TERM-53053,0.8296997510249342,0
24,4829388810062080,482938,Maroc,Prepaid,MasterCard,Mehdi Qadiri,Banque Populaire,88.58,MAD,2025-01-30,2025-01-30T11:45:35,6011,Station Afriquia,Unknown,Côte d'Ivoire,Côte d'Ivoire,871308,31.79,EMV,approved,ATM,none,not_checked,False,False,False,0.0.0.0,N/A,Marrakech,0698063180,DEV-488,MID-8747,TERM-34291,0.7993634718233589,0
25,4588622828980796,458862,Maroc,Debit,MasterCard,Mehdi Melian,BMCE Bank,10.0,MAD,2025-01-16,2025-01-16T04:09:59,5094,Bijouterie L'Or,Oujda,Maroc,Trinidade et Tobaggo,338717,23.64,MANUAL,approved,ECOM,none,not_checked,False,True,False,157.86.42.178,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Casablanca,0767648079,DEV-287,MID-1504,TERM-61800,0.9586895033439099,0
26,4161821702778990,416182,Allemagne,Debit,Amex,Omar El Hariri,SGMB,27.62,MAD,2025-01-20,2025-01-20T06:52:44,3000,Station Afriquia,Unknown,Côte d'Ivoire,Côte d'Ivoire,643611,14.28,MAGSTRIPE,approved,ECOM,none,not_checked,True,True,False,83.53.145.174,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Oujda,0756856919,DEV-312,MID-1082,TERM-36214,0.7922228073450023,0
27,4932219528992293,493221,Maroc,Credit,Visa,Mohamed El Hariri,Al Barid Bank,80.78,USD,2025-01-12,2025-01-12T00:33:13,5947,BIM Store,Unknown,Cambodia,Cambodia,390599,28.15,MAGSTRIPE,approved,ECOM,none,invalid,True,True,False,125.135.130.214,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),Oujda,0778944406,DEV-472,MID-8027,TERM-22131,0.8329804063365521,0
28,4343516105477763,434351,Maroc,Credit,Discover,Fatima El Amrani,SGMB,19.98,MAD,2025-01-29,2025-01-29T00:19:59,4814,Electro Planet,Unknown,Côte d'Ivoire,Côte d'Ivoire,000000,10.47,FALLBACK,declined,POS,Bad Cvv2/Cvc2,valid,False,False,False,0.0.0.0,N/A,Rabat,0619929659,DEV-376,MID-7660,TERM-83922,0.9282729862221987,0
29,4130625507758227,413062,Maroc,Prepaid,Visa,Mohamed Melian,Crédit du Maroc,27.42,MAD,2025-01-31,2025-01-31T10:21:15,3000,Bijouterie L'Or,Unknown,Malaisie,Malaisie,000000,37.03,FALLBACK,declined,POS,limit_exceeded,not_checked,True,False,False,0.0.0.0,N/A,Tetouan,0684172448,DEV-443,MID-2509,TERM-67537,0.9385152803546671,0
30,4506207398257373,450620,USA,Credit,MasterCard,Mehdi Bennani,Crédit du Maroc,38.53,MAD,2025-01-28,2025-01-28T15:50:37,6011,FastFood Al Baraka,Unknown,Inde,Maroc,000000,40.52,FALLBACK,declined,ECOM,Bad Cvv3-cvc3,valid,True,True,False,222.123.16.7,Mozilla/5.0 (Linux; Android 11; SM-G998B),Tetouan,0615918298,DEV-500,MID-9694,TERM-63059,0.8932373528196136,0
31,4042114103785598,404211,Allemagne,Debit,Visa,Fatima Alaoui,BMCE Bank,110.19,MAD,2025-01-11,2025-01-11T10:53:24,5947,Station Afriquia,Unknown,Chine,Chine,000000,6.74,MANUAL,declined,ATM,limit_exceeded,valid,False,False,False,0.0.0.0,N/A,Marrakech,0680334980,DEV-853,MID-4742,TERM-67725,0.9852146243687512,1
32,4499335036781403,449933,Espagne,Prepaid,Discover,Mehdi El Hariri,Banque Populaire,10.0,MAD,2025-01-11,2025-01-11T05:58:04,5947,Station Afriquia,Fès,Maroc,Trinidade et Tobaggo,000000,10.61,MAGSTRIPE,declined,POS,Bad CVV/CVC,not_checked,True,False,False,0.0.0.0,N/A,Laâyoune,0722631829,DEV-449,MID-5478,TERM-21922,0.8988941560504297,0
33,4742664127436118,474266,Maroc,Credit,MasterCard,Youssef Alaoui,Banque Populaire,44.42,MAD,2025-01-13,2025-01-13T12:14:43,5411,Acima,Unknown,Inde,Inde,000000,35.15,MANUAL,declined,ATM,Invalid Card,invalid,False,False,False,0.0.0.0,N/A,Rabat,0704577906,DEV-871,MID-9740,TERM-11496,0.9737049463337994,0
34,4028981340307909,402898,France,Credit,Discover,Mohamed Tahiri,Banque Populaire,47.07,MAD,2025-01-31,2025-01-31T19:26:24,5722,Electro Planet,Unknown,Népal,Colombie,431503,1.87,EMV,approved,ATM,none,invalid,False,False,False,0.0.0.0,N/A,Casablanca,0637098247,DEV-955,MID-5574,TERM-50344,0.8113068492066781,0
35,4366248973918921,436624,Maroc,Prepaid,MasterCard,Mehdi El Idrissi,Banque Populaire,17.87,USD,2025-01-18,2025-01-18T06:17:12,4814,Station Afriquia,Casablanca,Maroc,Maroc,000000,10.7,MANUAL,declined,ECOM,Bad CVV/CVC,invalid,False,True,True,135.140.157.195,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Agadir,0677214904,DEV-620,MID-6093,TERM-76399,0.9546499271295519,0
36,4322689106903726,432268,Maroc,Prepaid,MasterCard,Mohamed Alaoui,Attijariwafa Bank,36.85,EUR,2025-01-03,2025-01-03T07:11:31,5947,SuperMarket Marjane,Unknown,Malaisie,Malaisie,588551,28.06,MANUAL,approved,ECOM,none,valid,True,True,False,81.144.182.179,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Oujda,0636146876,DEV-139,MID-7869,TERM-23415,0.9517174005511406,0
37,4296659904047758,429665,Maroc,Prepaid,Amex,Omar Bennani,Crédit du Maroc,59.85,MAD,2025-01-20,2025-01-20T18:23:22,3000,Souvenirs Medina,Unknown,Chine,Chine,000000,15.16,FALLBACK,declined,ECOM,Invalid Card,valid,False,True,False,69.243.242.208,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Fès,0741959479,DEV-626,MID-3409,TERM-39430,0.9397162918152102,0
38,4468287159794764,446828,Maroc,Credit,MasterCard,Khadija Tahiri,Banque Populaire,31.53,MAD,2025-01-25,2025-01-25T05:02:16,4814,Station Afriquia,Agadir,Maroc,Maroc,765033,41.87,FALLBACK,approved,ECOM,none,valid,True,True,True,172.212.41.185,Mozilla/5.0 (Linux; Android 11; SM-G998B),Fès,0697517264,DEV-578,MID-2899,TERM-66399,0.6390473021995831,0
39,4359507998611695,435950,Chine,Prepaid,Amex,Amine Tahiri,SGMB,42.72,MAD,2025-01-11,2025-01-11T21:12:34,6011,Acima,Unknown,Cambodia,Maroc,258152,40.62,EMV,approved,ECOM,none,invalid,True,True,False,177.27.164.138,Mozilla/5.0 (Linux; Android 11; SM-G998B),Tetouan,0768359829,DEV-176,MID-8002,TERM-90802,0.7551150781136489,0
40,4143945651101627,414394,Maroc,Prepaid,Discover,Khadija El Idrissi,SGMB,19.24,MAD,2025-01-16,2025-01-16T17:35:14,6011,Electro Planet,Unknown,Equateur,Equateur,000000,30.69,MANUAL,declined,POS,limit_exceeded,valid,False,False,False,0.0.0.0,N/A,Agadir,0782378114,DEV-309,MID-4868,TERM-30123,0.9739201158337016,0
41,4893932358029104,489393,Maroc,Credit,Visa,Youssef El Amrani,SGMB,26.09,EUR,2025-01-08,2025-01-08T22:11:57,5541,SuperMarket Marjane,Unknown,Indonésie,Indonésie,000000,36.75,MAGSTRIPE,declined,ATM,expired_card,valid,False,False,False,0.0.0.0,N/A,Casablanca,0728204764,DEV-717,MID-9354,TERM-50225,0.9309138652109249,0
42,4987068736853908,498706,Maroc,Prepaid,Visa,Khadija Qadiri,CIH Bank,30.39,MAD,2025-01-25,2025-01-25T02:52:58,5094,Acima,Unknown,Antigua et Barbade,Antigua et Barbade,855559,7.26,EMV,approved,ECOM,none,invalid,True,True,False,174.35.64.2,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Tanger,0651918110,DEV-671,MID-4255,TERM-34999,0.8348511192525948,0
43,4776384009761463,477638,Allemagne,Debit,MasterCard,Fatima Mansouri,BMCI,342.84,MAD,2025-01-07,2025-01-07T11:22:00,5541,Restau Chez Hassan,Agadir,Maroc,Maroc,000000,46.61,FALLBACK,declined,POS,Bad CVV/CVC,invalid,False,False,False,0.0.0.0,N/A,Meknès,0661853748,DEV-239,MID-5855,TERM-63098,0.9540734393205906,0
44,4127981343581860,412798,Espagne,Prepaid,Discover,Mohamed Qadiri,Attijariwafa Bank,114.02,MAD,2025-01-24,2025-01-24T10:36:11,5411,Station Afriquia,Unknown,Equateur,Equateur,988807,25.67,FALLBACK,approved,ATM,none,not_checked,False,False,False,0.0.0.0,N/A,Tanger,0636364504,DEV-467,MID-5042,TERM-33746,0.77558251546941,0
45,4927189026828648,492718,Maroc,Credit,Discover,Sara Fassi,Crédit du Maroc,57.37,MAD,2025-01-06,2025-01-06T12:14:06,5094,BIM Store,Unknown,Népal,Népal,332898,5.95,FALLBACK,approved,ECOM,none,valid,False,True,False,157.104.63.190,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Fès,0785087640,DEV-472,MID-7593,TERM-17122,0.8582694320730426,0
46,4018995852372172,401899,Maroc,Debit,Discover,Ali Mansouri,SGMB,42.14,USD,2025-01-24,2025-01-24T07:12:07,6011,Acima,Unknown,Chine,Chine,000000,34.73,MANUAL,declined,POS,Bad CVV/CVC,not_checked,False,False,False,0.0.0.0,N/A,Tetouan,0630040933,DEV-159,MID-3685,TERM-32352,0.9692810780949284,0
47,4826936384532020,482693,Maroc,Credit,Discover,Mohamed Tahiri,Crédit du Maroc,16.83,USD,2025-01-25,2025-01-25T20:39:27,5411,Souvenirs Medina,Unknown,Sri Lanka,Indonésie,552925,49.27,MAGSTRIPE,approved,POS,none,valid,True,False,False,0.0.0.0,N/A,Oujda,0617875116,DEV-901,MID-3580,TERM-58221,0.7543425185247467,0
48,4980981066111587,498098,Inde,Credit,Amex,Fatima Fassi,Al Barid Bank,37.46,USD,2025-01-12,2025-01-12T12:20:08,3000,Carrefour Market,Meknès,Maroc,Maroc,000000,28.87,FALLBACK,declined,POS,Invalid Card,invalid,True,False,False,0.0.0.0,N/A,Tanger,0721754838,DEV-982,MID-7725,TERM-95574,0.9327610914829714,0
49,4367436403648295,436743,Maroc,Credit,Amex,Amine El Amrani,Al Barid Bank,169.71,USD,2025-01-22,2025-01-22T09:34:01,6011,FastFood Al Baraka,Agadir,Maroc,Maroc,929502,1.73,FALLBACK,approved,ATM,none,invalid,True,False,True,0.0.0.0,N/A,Casablanca,0770216338,DEV-450,MID-2927,TERM-87583,0.5249447263643673,0
50,4706807580730038,470680,Maroc,Credit,MasterCard,Ali Tahiri,SGMB,10.0,MAD,2025-01-03,2025-01-03T17:02:23,5094,Restau Chez Hassan,Unknown,Philippines,Philippines,874984,28.82,MANUAL,approved,ATM,none,not_checked,True,False,False,0.0.0.0,N/A,Casablanca,0677732296,DEV-677,MID-7401,TERM-91392,0.9436419880175932,0
51,4893979586741857,489397,France,Prepaid,Discover,Omar Melian,BMCI,18.44,MAD,2025-01-22,2025-01-22T18:23:00,3000,Carrefour Market,Unknown,Equateur,Equateur,000000,5.06,MANUAL,declined,ATM,Bad Cvv2/Cvc2,valid,False,False,False,0.0.0.0,N/A,Laâyoune,0694413875,DEV-755,MID-9969,TERM-14400,0.9839867910552544,1
52,4728338507430052,472833,Maroc,Debit,MasterCard,Mohamed Qadiri,Banque Populaire,16.23,MAD,2025-01-14,2025-01-14T23:05:53,5947,Bijouterie L'Or,Unknown,France,Japon,756848,36.54,MAGSTRIPE,approved,POS,none,not_checked,True,False,False,0.0.0.0,N/A,Oujda,0716900880,DEV-293,MID-9661,TERM-42086,0.8247399598228533,0
53,4323132227539798,432313,Maroc,Prepaid,Visa,Zineb Tahiri,Crédit du Maroc,10.0,MAD,2025-01-18,2025-01-18T17:26:10,3000,SuperMarket Marjane,Unknown,Malaisie,Malaisie,000000,15.39,MAGSTRIPE,declined,POS,Invalid Card,valid,True,False,False,0.0.0.0,N/A,Tetouan,0693801272,DEV-836,MID-9603,TERM-53225,0.9314426924576981,0
54,4065216018461121,406521,Maroc,Debit,Discover,Amine Bennani,Crédit du Maroc,27.74,USD,2025-01-06,2025-01-06T00:22:48,5094,Bijouterie L'Or,Laâyoune,Maroc,Maroc,000000,41.86,FALLBACK,declined,POS,expired_card,invalid,True,False,True,0.0.0.0,N/A,Casablanca,0719023282,DEV-158,MID-4516,TERM-11105,0.8073853507831259,0
55,4684122112239434,468412,Maroc,Credit,Visa,Ali Melian,SGMB,45.25,MAD,2025-01-14,2025-01-14T19:33:15,5812,BIM Store,Oujda,Maroc,Maroc,499778,46.23,MANUAL,approved,ECOM,none,not_checked,False,True,True,170.116.154.127,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Meknès,0759206600,DEV-700,MID-8494,TERM-21676,0.8790682940427363,0
56,4780099609564256,478009,Maroc,Debit,Amex,Mehdi Tahiri,BMCI,25.92,EUR,2025-01-06,2025-01-06T15:06:09,5094,Electro Planet,Unknown,Allemagne,Allemagne,000000,13.37,EMV,declined,ATM,Invalid Card,valid,True,False,False,0.0.0.0,N/A,Fès,0624759865,DEV-241,MID-9378,TERM-98454,0.9313788258919609,0
57,4439948478133044,443994,Maroc,Credit,MasterCard,Mehdi El Hariri,BMCI,231.94,MAD,2025-01-01,2025-01-01T01:17:11,6011,Bijouterie L'Or,Unknown,Equateur,Equateur,808288,24.62,FALLBACK,approved,POS,none,not_checked,True,False,False,0.0.0.0,N/A,Casablanca,0662826838,DEV-534,MID-3054,TERM-16818,0.8129143939705682,0
58,4058994177736038,405899,Maroc,Prepaid,Discover,Amine Bennani,Al Barid Bank,11.08,EUR,2025-01-21,2025-01-21T10:16:27,6011,Bijouterie L'Or,Unknown,Antigua et Barbade,Antigua et Barbade,703653,11.93,FALLBACK,approved,POS,none,valid,True,False,False,0.0.0.0,N/A,Tetouan,0613540279,DEV-123,MID-3102,TERM-84492,0.70765851175851,0
59,4931542850268727,493154,France,Prepaid,MasterCard,Zineb Fassi,SGMB,232.3,MAD,2025-01-02,2025-01-02T01:23:15,5812,SuperMarket Marjane,Unknown,France,France,000000,31.43,FALLBACK,declined,ECOM,limit_exceeded,invalid,True,True,False,228.252.127.17,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Oujda,0730744547,DEV-407,MID-4849,TERM-13259,0.9496791151089097,0
60,4417228616223191,441722,Maroc,Credit,MasterCard,Aya El Idrissi,Al Barid Bank,40.07,MAD,2025-01-30,2025-01-30T19:12:26,4814,Carrefour Market,Marrakech,Maroc,Maroc,000000,28.14,FALLBACK,declined,ECOM,Bad CVV/CVC,not_checked,True,True,True,182.174.85.253,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),Agadir,0731035825,DEV-146,MID-3735,TERM-49607,0.8415039380710789,0
61,4279268028115348,427926,Maroc,Debit,Discover,Fatima Alaoui,CIH Bank,117.46,USD,2025-01-09,2025-01-09T18:18:10,5947,Electro Planet,Unknown,Antigua et Barbade,Colombie,468252,31.14,EMV,approved,ECOM,none,invalid,False,True,False,65.6.14.84,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Agadir,0711548108,DEV-604,MID-2002,TERM-85253,0.8401334434739259,0
62,4097051687790053,409705,Maroc,Prepaid,Discover,Omar El Hariri,Attijariwafa Bank,65.55,MAD,2025-01-02,2025-01-02T20:40:07,5812,Station Afriquia,Unknown,Chine,Chine,374152,28.5,MANUAL,approved,ATM,none,valid,True,False,False,0.0.0.0,N/A,Meknès,0727430950,DEV-923,MID-4665,TERM-34782,0.9604867101366877,0
63,4306969854326310,430696,Maroc,Debit,Amex,Zineb Melian,Al Barid Bank,10.0,MAD,2025-01-20,2025-01-20T11:56:18,5812,Carrefour Market,Unknown,Chine,Chine,144256,3.32,MAGSTRIPE,approved,ECOM,none,invalid,True,True,False,231.92.196.219,Mozilla/5.0 (Linux; U; Android 9; en-us; Nexus 5),Meknès,0751405145,DEV-419,MID-2140,TERM-60215,0.8163342263868428,0
64,4684561184914192,468456,Maroc,Prepaid,Visa,Ali Alaoui,Banque Populaire,132.84,MAD,2025-01-22,2025-01-22T04:51:14,6011,Station Afriquia,Unknown,Japon,Japon,568314,48.75,EMV,approved,ECOM,none,invalid,False,True,False,166.192.182.47,Mozilla/5.0 (Windows NT 10.0; Win64; x64),Fès,0772203199,DEV-649,MID-6686,TERM-46531,0.7451745515136426,0
65,4027201030772713,402720,Maroc,Debit,MasterCard,Aya Qadiri,Crédit du Maroc,26.83,MAD,2025-01-05,2025-01-05T17:53:43,5722,Carrefour Market,Unknown,Espagne,Espagne,000000,11.45,MANUAL,declined,ATM,Invalid Card,invalid,True,False,False,0.0.0.0,N/A,Oujda,0700754162,DEV-931,MID-1620,TERM-38884,0.9850858420192546,1
66,4857592003678813,485759,Maroc,Debit,MasterCard,Zineb Bennani,BMCE Bank,54.67,MAD,2025-01-27,2025-01-27T05:02:01,3000,Souvenirs Medina,Unknown,USA,Colombie,197608,44.87,EMV,approved,POS,none,not_checked,True,False,False,0.0.0.0,N/A,Marrakech,0741336367,DEV-893,MID-6758,TERM-14356,0.8202338579931104,0
67,4483012351406904,448301,Espagne,Prepaid,Amex,Amine Tahiri,SGMB,42.03,MAD,2025-01-08,2025-01-08T03:28:13,3000,Souvenirs Medina,Agadir,Maroc,Maroc,000000,34.05,MAGSTRIPE,declined,POS,Bad Cvv3-cvc3,invalid,False,False,False,0.0.0.0,N/A,Tetouan,0736732946,DEV-379,MID-6461,TERM-84589,0.9224458833459026,0
68,4611682851366990,461168,Maroc,Debit,Amex,Fatima Melian,Al Barid Bank,31.28,USD,2025-01-02,2025-01-02T18:15:59,5541,Acima,Unknown,Chine,Chine,779579,16.44,MANUAL,approved,ATM,none,invalid,True,False,False,0.0.0.0,N/A,Rabat,0645260006,DEV-644,MID-3296,TERM-18094,0.9522423659443381,0
